x, y, yaw, km, kf, sf
1.9991,-1.94084,-1.04784,-0.808158,0.824807,3.18416
2.96973,-1.97815,-1.04064,-0.48464,0.186345,3.93494
3.95236,-1.93369,-1.03671,-0.307654,-0.139617,4.78186
5.01712,-2.04066,-1.05981,-0.206164,-0.285722,5.67698
5.98025,-1.97494,-1.0369,-0.145593,-0.347913,6.64873
6.97246,-1.96324,-1.02174,-0.105462,-0.365652,7.57333
0.965663,0.0129647,-0.988785,0.121865,-5.17076,1.05993
3.01686,-0.0326461,-1.11481,0.0554282,-1.84868,3.13008
3.96617,0.0384366,-0.98126,0.0399547,-1.42144,4.18821
5.00879,-0.0215826,-1.07713,0.0375237,-1.11045,5.18049
5.9655,0.0506695,-0.981165,0.0270275,-0.961897,6.28212
7.00357,-0.0105896,-1.05772,0.0260211,-0.808546,7.27464
2.98442,1.98953,-1.01901,0.536464,-3.07509,4.1828
4.00246,1.99126,-1.07656,0.368666,-2.21174,4.97311
4.98597,2.01188,-1.01393,0.261248,-1.72627,5.88478
5.96789,1.97777,-1.08739,0.193572,-1.4034,6.84595
7.01736,1.95688,-1.1104,0.151067,-1.15896,7.802
2.02551,-1.99973,0.0768107,-0.876897,2.64816,3.19638
3.0044,-1.99835,0.00834692,-0.541693,1.70839,3.87788
4.00335,-1.99036,0.019,-0.355669,1.11384,4.66711
5.00668,-1.99384,0.0136812,-0.246296,0.775399,5.53678
5.9719,-1.99645,-0.0139584,-0.177794,0.578569,6.48066
6.99194,-2.00537,-0.00219425,-0.135689,0.426294,7.36392
0.99,0,0,0,0,1.0125
2.03,0,0,0,0,1.975
2.99,0,0,0,0,3.0125
4.03,0,0,0,0,3.975
4.99,0,0,0,0,5.0125
6.03,0,0,0,0,5.975
6.99,0,0,0,0,7.0125
2.02551,1.99973,-0.0768107,0.876897,-2.64816,3.19638
3.0044,1.99835,-0.00834692,0.541693,-1.70839,3.87788
4.00335,1.99036,-0.019,0.355669,-1.11384,4.66711
5.00668,1.99384,-0.0136812,0.246296,-0.775399,5.53678
5.9719,1.99645,0.0139584,0.177794,-0.578569,6.48066
6.99194,2.00537,0.00219425,0.135689,-0.426294,7.36392
2.98442,-1.98953,1.01901,-0.536464,3.07509,4.1828
4.00246,-1.99126,1.07656,-0.368666,2.21174,4.97311
4.98597,-2.01188,1.01393,-0.261248,1.72627,5.88478
5.96789,-1.97777,1.08739,-0.193572,1.4034,6.84595
7.01736,-1.95688,1.1104,-0.151067,1.15896,7.802
0.965663,-0.0129647,0.988785,-0.121865,5.17076,1.05993
3.01686,0.0326461,1.11481,-0.0554282,1.84868,3.13008
3.96617,-0.0384366,0.98126,-0.0399547,1.42144,4.18821
5.00879,0.0215826,1.07713,-0.0375237,1.11045,5.18049
5.9655,-0.0506695,0.981165,-0.0270275,0.961897,6.28212
7.00357,0.0105896,1.05772,-0.0260211,0.808546,7.27464
1.9991,1.94084,1.04784,0.808158,-0.824807,3.18416
2.96973,1.97815,1.04064,0.48464,-0.186345,3.93494
3.95236,1.93369,1.03671,0.307654,0.139617,4.78186
5.01712,2.04066,1.05981,0.206164,0.285722,5.67698
5.98025,1.97494,1.0369,0.145593,0.347913,6.64873
6.97246,1.96324,1.02174,0.105462,0.365652,7.57333
1.93583,-1.95478,-1.08568,-0.797625,0.894305,3.243
3.03365,-1.99662,-1.0279,-0.482355,0.186301,3.94932
3.98831,-1.97927,-1.04437,-0.306226,-0.142982,4.78353
5.00979,-2.0195,-1.05459,-0.204656,-0.286457,5.66063
6.01244,-2.02453,-1.05726,-0.143969,-0.345226,6.61377
7.00028,-2.01248,-1.05243,-0.104983,-0.365198,7.57814
1.93586,0.0039502,-1.06793,0.109447,-2.4779,2.04398
3.00538,-0.011963,-1.075,0.0568616,-1.83134,3.13502
4.00236,-0.00773795,-1.06069,0.0398913,-1.4173,4.19867
4.99937,-0.003176,-1.05174,0.031576,-1.14871,5.25241
